depth	min.95	max.95	median	mean
90	159	248	202	202
91	164	254	207	208
92	168	263	212	214
93	169	276	217	219
94	171	292	220	225
95	172	309	223	230
96	173	325	226	236
97	173	343	229	242
98	173	360	231	247
99	174	378	234	253
100	174	397	236	259
101	181	399	245	265
102	185	400	254	271
103	187	401	265	278
104	188	403	277	284
105	189	404	290	290
106	189	405	301	297
107	190	407	312	303
108	190	411	320	309
109	190	415	329	316
110	191	425	336	322
111	207	426	341	329
112	222	426	345	335
113	235	427	351	342
114	243	428	356	348
115	250	429	361	355
116	254	429	367	361
117	258	432	374	368
118	261	433	381	374
119	265	436	388	381
120	267	442	395	387
121	278	442	395	388
122	289	443	395	389
123	300	443	395	390
124	312	443	395	391
125	322	443	396	393
126	330	443	396	394
127	338	443	396	395
128	344	443	397	396
129	346	443	398	397
130	346	444	399	398
131	352	472	409	410
132	357	531	415	423
133	361	592	420	435
134	362	655	424	448
135	364	715	428	460
136	365	777	432	473
137	366	839	436	485
138	366	903	439	497
139	367	967	442	510
140	367	1028	446	522
141	376	1032	462	534
142	380	1041	477	545
143	382	1055	490	557
144	383	1071	501	568
145	384	1099	511	580
146	385	1128	522	591
147	386	1150	531	603
148	387	1179	542	614
149	388	1234	551	626
150	388	1283	560	637
151	397	1287	570	649
152	401	1287	591	662
153	403	1296	612	674
154	405	1306	629	686
155	407	1321	640	699
156	408	1340	649	711
157	409	1351	656	723
158	410	1377	666	736
159	411	1412	674	748
160	412	1449	684	760
161	424	1458	693	771
162	426	1464	705	782
163	428	1475	721	793
164	430	1480	739	804
165	431	1484	757	815
166	432	1489	771	826
167	432	1499	785	837
168	434	1512	798	848
169	434	1518	810	859
170	435	1527	821	870
171	448	1535	839	885
172	453	1540	855	900
173	459	1546	873	915
174	464	1552	892	930
175	468	1569	911	945
176	472	1580	927	960
177	474	1595	945	975
178	476	1618	963	990
179	477	1645	976	1005
180	479	1686	991	1020
181	492	1694	1008	1033
182	498	1704	1023	1047
183	502	1711	1038	1061
184	510	1721	1056	1074
185	515	1733	1072	1088
186	520	1749	1090	1102
187	523	1761	1111	1115
188	528	1779	1129	1129
189	529	1792	1144	1143
190	530	1819	1159	1156
191	541	1825	1174	1166
192	548	1831	1184	1176
193	553	1836	1197	1186
194	562	1840	1211	1196
195	565	1844	1223	1206
196	572	1846	1234	1216
197	579	1855	1246	1226
198	587	1862	1256	1236
199	590	1877	1265	1246
200	592	1901	1271	1256
201	607	1903	1287	1272
202	613	1903	1306	1288
203	622	1906	1328	1303
204	634	1910	1349	1319
205	637	1913	1367	1335
206	645	1917	1388	1351
207	645	1924	1409	1367
208	646	1933	1430	1383
209	647	1953	1451	1399
210	648	1979	1466	1415
211	684	1979	1480	1429
212	698	1981	1496	1444
213	714	1984	1511	1459
214	725	1987	1527	1474
215	737	1990	1546	1488
216	745	1995	1565	1503
217	749	2002	1580	1518
218	754	2006	1601	1532
219	762	2015	1616	1547
220	768	2028	1628	1562
221	788	2029	1638	1573
222	795	2030	1652	1584
223	807	2031	1665	1595
224	813	2034	1679	1606
225	827	2035	1695	1617
226	834	2037	1708	1628
227	842	2041	1724	1639
228	845	2044	1740	1650
229	850	2052	1753	1661
230	854	2062	1764	1672
231	923	2064	1775	1687
232	992	2065	1785	1702
233	1046	2067	1797	1717
234	1086	2070	1809	1732
235	1105	2073	1820	1747
236	1119	2074	1834	1762
237	1131	2075	1848	1777
238	1143	2077	1865	1792
239	1151	2084	1886	1807
240	1161	2105	1902	1822
241	1242	2106	1909	1840
242	1323	2108	1917	1857
243	1406	2110	1924	1875
244	1485	2111	1932	1893
245	1563	2113	1940	1911
246	1643	2117	1949	1928
247	1712	2120	1958	1946
248	1778	2126	1968	1964
249	1824	2135	1983	1982
250	1851	2148	2000	1999
251	1865	2164	2011	2013
252	1872	2203	2022	2026
253	1877	2256	2031	2040
254	1880	2324	2038	2053
255	1882	2387	2045	2067
256	1885	2458	2050	2080
257	1888	2530	2056	2094
258	1890	2605	2060	2107
259	1892	2671	2065	2121
260	1893	2747	2070	2134
261	1903	2764	2085	2148
262	1911	2772	2102	2163
263	1916	2794	2117	2177
264	1923	2814	2130	2192
265	1926	2838	2142	2206
266	1929	2856	2152	2221
267	1932	2890	2162	2235
268	1933	2929	2169	2250
269	1934	2989	2178	2264
270	1934	3045	2188	2279
271	1949	3065	2208	2294
272	1955	3072	2227	2309
273	1958	3094	2249	2324
274	1961	3103	2268	2340
275	1964	3122	2284	2355
276	1966	3139	2300	2370
277	1967	3161	2314	2386
278	1970	3208	2329	2401
279	1972	3241	2343	2416
280	1973	3280	2353	2432
281	1984	3287	2368	2444
282	1994	3294	2386	2457
283	1997	3302	2403	2470
284	2002	3313	2421	2483
285	2005	3326	2437	2496
286	2008	3345	2451	2509
287	2011	3352	2466	2522
288	2012	3380	2475	2535
289	2014	3409	2488	2548
290	2015	3454	2503	2560
291	2027	3459	2513	2571
292	2035	3459	2523	2582
293	2038	3462	2539	2592
294	2040	3466	2553	2603
295	2045	3471	2565	2613
296	2046	3481	2577	2624
297	2048	3487	2588	2634
298	2051	3492	2599	2645
299	2055	3506	2610	2655
300	2056	3523	2619	2666
301	2072	3526	2637	2680
302	2084	3532	2654	2695
303	2090	3540	2666	2709
304	2096	3555	2684	2723
305	2101	3568	2700	2738
306	2105	3578	2714	2752
307	2107	3598	2730	2766
308	2109	3625	2743	2781
309	2114	3648	2761	2795
310	2116	3683	2776	2810
311	2131	3685	2790	2824
312	2141	3689	2808	2838
313	2154	3690	2823	2852
314	2161	3696	2845	2866
315	2167	3699	2864	2880
316	2171	3702	2881	2894
317	2175	3717	2893	2908
318	2180	3728	2911	2922
319	2182	3744	2924	2936
320	2184	3768	2941	2950
321	2207	3773	2951	2962
322	2228	3777	2967	2975
323	2234	3779	2983	2987
324	2241	3783	2996	3000
325	2254	3789	3010	3012
326	2262	3794	3026	3025
327	2264	3798	3043	3037
328	2267	3805	3058	3050
329	2274	3817	3070	3062
330	2275	3833	3087	3075
331	2288	3834	3099	3086
332	2307	3841	3111	3097
333	2320	3847	3125	3108
334	2329	3852	3140	3120
335	2337	3857	3154	3131
336	2351	3867	3168	3142
337	2357	3876	3183	3154
338	2362	3889	3194	3165
339	2369	3898	3209	3176
340	2374	3913	3221	3187
341	2394	3915	3234	3200
342	2413	3918	3246	3212
343	2419	3921	3257	3225
344	2421	3929	3273	3237
345	2430	3933	3289	3250
346	2441	3937	3305	3262
347	2447	3941	3318	3274
348	2455	3950	3333	3287
349	2460	3962	3344	3299
350	2464	3995	3354	3312
351	2503	3996	3366	3324
352	2525	3998	3378	3337
353	2544	3998	3390	3350
354	2553	4003	3402	3363
355	2568	4006	3414	3376
356	2576	4011	3432	3389
357	2579	4019	3450	3401
358	2584	4024	3468	3414
359	2587	4040	3480	3427
360	2594	4055	3496	3440
361	2629	4058	3511	3455
362	2648	4062	3522	3469
363	2667	4062	3535	3484
364	2687	4065	3550	3499
365	2701	4067	3565	3514
366	2710	4071	3584	3528
367	2717	4080	3605	3543
368	2737	4086	3623	3558
369	2742	4095	3637	3572
370	2743	4115	3653	3587
371	2797	4116	3664	3603
372	2844	4119	3677	3619
373	2888	4123	3690	3635
374	2915	4126	3705	3650
375	2944	4133	3718	3666
376	2953	4136	3737	3682
377	2969	4145	3757	3698
378	2975	4150	3774	3714
379	2985	4154	3794	3729
380	2996	4172	3813	3745
381	3029	4176	3821	3756
382	3054	4176	3830	3767
383	3081	4176	3837	3778
384	3108	4179	3845	3789
385	3143	4183	3854	3800
386	3151	4187	3864	3811
387	3168	4194	3874	3823
388	3172	4199	3886	3834
389	3193	4209	3901	3845
390	3204	4218	3911	3856
391	3275	4221	3918	3870
392	3342	4222	3925	3885
393	3403	4226	3932	3899
394	3473	4229	3939	3914
395	3535	4231	3946	3928
396	3593	4240	3955	3942
397	3644	4244	3963	3957
398	3683	4252	3973	3971
399	3703	4259	3987	3986
400	3723	4273	4000	4000
401	3738	4288	4015	4014
402	3749	4309	4027	4028
403	3758	4335	4039	4042
404	3762	4371	4049	4056
405	3767	4411	4059	4069
406	3769	4465	4069	4083
407	3772	4522	4079	4097
408	3774	4584	4087	4111
409	3775	4650	4093	4125
410	3777	4717	4100	4139
411	3791	4725	4115	4152
412	3810	4735	4129	4165
413	3817	4749	4142	4178
414	3823	4754	4156	4191
415	3828	4761	4169	4204
416	3839	4789	4177	4217
417	3842	4821	4188	4231
418	3843	4857	4199	4244
419	3846	4905	4209	4257
420	3848	4951	4216	4270
421	3863	4959	4230	4282
422	3875	4975	4244	4295
423	3885	4978	4261	4307
424	3886	4988	4277	4319
425	3889	5003	4290	4331
426	3894	5015	4301	4344
427	3896	5025	4314	4356
428	3897	5061	4325	4368
429	3901	5088	4337	4381
430	3902	5117	4346	4393
431	3922	5121	4359	4406
432	3934	5135	4372	4420
433	3943	5140	4390	4433
434	3952	5148	4404	4447
435	3954	5155	4422	4460
436	3959	5167	4437	4474
437	3964	5178	4450	4487
438	3967	5191	4465	4501
439	3969	5218	4477	4514
440	3971	5247	4490	4528
441	3986	5250	4502	4542
442	4004	5255	4519	4555
443	4012	5262	4535	4569
444	4014	5263	4551	4583
445	4022	5278	4564	4596
446	4029	5298	4583	4610
447	4033	5308	4599	4624
448	4038	5322	4617	4638
449	4042	5343	4632	4651
450	4043	5376	4645	4665
451	4065	5382	4658	4680
452	4078	5386	4674	4696
453	4090	5393	4688	4711
454	4098	5399	4705	4726
455	4110	5409	4724	4742
456	4114	5416	4744	4757
457	4116	5426	4760	4772
458	4118	5447	4781	4787
459	4125	5467	4801	4803
460	4130	5485	4819	4818
461	4153	5491	4829	4830
462	4178	5496	4839	4841
463	4187	5498	4853	4853
464	4198	5500	4868	4864
465	4209	5505	4881	4876
466	4216	5512	4894	4887
467	4222	5519	4906	4899
468	4225	5533	4923	4910
469	4228	5549	4935	4922
470	4231	5574	4947	4933
471	4261	5576	4955	4945
472	4280	5576	4966	4957
473	4306	5577	4978	4969
474	4325	5581	4991	4980
475	4340	5585	5007	4992
476	4347	5593	5017	5004
477	4356	5600	5030	5016
478	4364	5608	5042	5027
479	4368	5619	5058	5039
480	4370	5639	5067	5051
481	4408	5642	5080	5066
482	4441	5642	5095	5080
483	4471	5648	5109	5095
484	4487	5652	5125	5110
485	4505	5666	5141	5125
486	4515	5675	5158	5139
487	4525	5683	5171	5154
488	4535	5692	5190	5169
489	4543	5703	5208	5183
490	4554	5724	5222	5198
491	4598	5727	5234	5212
492	4647	5734	5243	5227
493	4692	5737	5253	5241
494	4727	5739	5263	5255
495	4747	5742	5275	5269
496	4766	5750	5286	5284
497	4792	5764	5300	5298
498	4811	5777	5316	5312
499	4823	5793	5331	5326
500	4833	5804	5345	5341
501	4843	5813	5358	5352
502	4857	5831	5370	5364
503	4864	5853	5380	5376
504	4874	5876	5390	5388
505	4885	5904	5399	5399
506	4891	5929	5408	5411
507	4894	5953	5417	5423
508	4898	5999	5425	5434
509	4904	6035	5433	5446
510	4906	6070	5441	5458
511	4917	6075	5453	5469
512	4928	6085	5465	5480
513	4943	6093	5477	5491
514	4952	6102	5487	5502
515	4957	6120	5497	5513
516	4959	6131	5507	5523
517	4964	6153	5519	5534
518	4966	6178	5527	5545
519	4972	6209	5536	5556
520	4975	6244	5546	5567
521	4985	6253	5558	5578
522	4998	6259	5567	5589
523	5006	6270	5579	5600
524	5017	6283	5590	5611
525	5021	6291	5602	5622
526	5032	6305	5613	5633
527	5042	6338	5625	5644
528	5048	6363	5633	5655
529	5052	6380	5644	5666
530	5055	6391	5653	5677
531	5077	6408	5666	5690
532	5088	6417	5679	5704
533	5106	6431	5692	5717
534	5112	6445	5706	5730
535	5121	6462	5721	5743
536	5125	6489	5735	5756
537	5129	6511	5747	5769
538	5133	6532	5759	5782
539	5137	6565	5770	5795
540	5144	6602	5781	5808
541	5155	6610	5792	5818
542	5171	6617	5803	5828
543	5174	6623	5811	5838
544	5181	6625	5823	5848
545	5187	6635	5836	5857
546	5190	6641	5848	5867
547	5192	6660	5859	5877
548	5201	6669	5866	5887
549	5206	6678	5874	5897
550	5210	6707	5881	5907
551	5216	6710	5892	5916
552	5222	6716	5906	5925
553	5225	6730	5917	5934
554	5234	6736	5928	5942
555	5245	6742	5939	5951
556	5249	6753	5948	5960
557	5254	6762	5957	5969
558	5259	6772	5964	5978
559	5264	6789	5974	5987
560	5269	6813	5980	5996
561	5288	6814	5991	6008
562	5310	6821	6001	6019
563	5314	6825	6010	6030
564	5321	6832	6022	6041
565	5330	6849	6036	6052
566	5337	6859	6046	6064
567	5347	6873	6057	6075
568	5348	6907	6069	6086
569	5356	6927	6079	6097
570	5364	6947	6095	6109
571	5384	6954	6106	6120
572	5402	6960	6114	6131
573	5413	6963	6126	6142
574	5429	6972	6140	6153
575	5432	6979	6152	6165
576	5440	6983	6168	6176
577	5449	6990	6179	6187
578	5455	7005	6191	6198
579	5458	7027	6202	6209
580	5459	7045	6212	6221
581	5480	7051	6222	6231
582	5501	7060	6232	6242
583	5508	7064	6244	6253
584	5514	7077	6259	6264
585	5521	7090	6268	6275
586	5526	7095	6278	6286
587	5531	7109	6290	6297
588	5535	7110	6302	6308
589	5541	7122	6313	6319
590	5545	7144	6325	6330
591	5571	7147	6335	6341
592	5582	7155	6347	6352
593	5601	7160	6357	6363
594	5610	7164	6368	6374
595	5617	7172	6382	6385
596	5628	7178	6397	6396
597	5635	7190	6407	6407
598	5645	7206	6420	6418
599	5650	7216	6431	6430
600	5654	7236	6441	6441
601	5689	7242	6450	6452
602	5698	7246	6463	6462
603	5710	7254	6472	6473
604	5716	7265	6483	6484
605	5726	7274	6494	6495
606	5736	7278	6506	6506
607	5742	7288	6520	6517
608	5747	7300	6533	6528
609	5751	7319	6543	6539
610	5755	7336	6553	6550
611	5775	7338	6561	6561
612	5798	7340	6571	6572
613	5813	7351	6582	6583
614	5827	7356	6592	6594
615	5841	7364	6607	6605
616	5849	7377	6618	6616
617	5853	7386	6631	6628
618	5861	7407	6644	6639
619	5865	7422	6657	6650
620	5869	7436	6667	6661
621	5887	7443	6673	6668
622	5903	7443	6679	6676
623	5910	7450	6685	6683
624	5919	7453	6693	6691
625	5925	7455	6703	6698
626	5929	7458	6711	6705
627	5937	7468	6720	6713
628	5952	7470	6730	6720
629	5959	7474	6736	6728
630	5963	7485	6745	6735
631	5984	7490	6751	6745
632	6004	7493	6759	6755
633	6026	7498	6767	6765
634	6044	7503	6778	6775
