depth	min.95	max.95	median	mean
90	155	239	198	198
91	159	244	203	203
92	160	254	208	208
93	164	268	211	213
94	165	287	215	218
95	167	304	218	223
96	168	324	221	228
97	173	327	227	234
98	177	330	233	239
99	179	334	239	244
100	182	340	244	249
101	182	350	249	254
102	183	364	253	259
103	189	366	258	264
104	192	368	265	270
105	194	371	272	275
106	196	374	278	280
107	198	380	285	286
108	199	387	290	291
109	206	388	295	296
110	212	389	301	301
111	215	391	307	306
112	219	394	312	310
113	221	398	317	315
114	223	403	322	320
115	234	404	327	325
116	240	405	332	330
117	243	408	338	335
118	246	411	344	340
119	248	415	350	344
120	251	421	355	349
121	263	422	359	354
122	274	424	363	359
123	282	425	368	364
124	287	428	373	368
125	289	431	378	373
126	291	436	383	378
127	315	437	386	384
128	335	440	390	390
129	350	443	395	396
130	358	448	401	402
131	362	456	406	408
132	364	473	411	413
133	376	494	424	427
134	379	542	433	441
135	382	600	441	454
136	384	660	448	468
137	385	719	454	481
138	386	779	461	495
139	396	794	476	509
140	400	807	493	523
141	402	829	505	538
142	404	869	517	552
143	406	918	528	566
144	407	960	540	580
145	414	974	555	594
146	419	995	570	608
147	421	1017	586	621
148	423	1046	600	635
149	425	1078	612	648
150	427	1115	625	662
151	441	1121	640	675
152	450	1132	657	689
153	453	1141	671	702
154	456	1157	686	715
155	460	1177	700	729
156	463	1204	714	742
157	477	1215	728	757
158	481	1226	745	771
159	487	1237	759	785
160	490	1257	772	799
161	493	1284	787	813
162	496	1313	800	828
163	512	1325	814	842
164	524	1339	829	857
165	533	1349	847	872
166	539	1362	863	887
167	542	1379	879	901
168	546	1402	893	916
169	562	1411	908	928
170	569	1422	923	940
171	574	1432	937	952
172	582	1444	951	964
173	590	1456	963	976
174	592	1477	973	988
175	606	1482	988	1002
176	613	1490	1002	1016
177	621	1504	1018	1030
178	628	1513	1036	1044
179	630	1528	1053	1058
180	633	1543	1065	1072
181	652	1550	1081	1086
182	666	1558	1095	1100
183	674	1577	1112	1114
184	683	1599	1126	1128
185	690	1622	1141	1142
186	695	1646	1155	1155
187	718	1650	1169	1169
188	732	1654	1181	1182
189	747	1664	1194	1195
190	752	1670	1211	1208
191	758	1680	1222	1221
192	762	1702	1235	1234
193	785	1712	1251	1247
194	795	1722	1264	1260
195	808	1727	1277	1273
196	821	1737	1291	1286
197	830	1748	1304	1298
198	837	1767	1315	1311
199	859	1774	1327	1324
