depth	min.95	max.95	median	mean
342	2741	3701	3238	3233
343	2755	3718	3253	3247
344	2765	3730	3267	3261
345	2774	3747	3283	3275
346	2791	3751	3297	3288
347	2808	3757	3312	3301
348	2817	3767	3325	3315
349	2827	3789	3337	3328
350	2831	3799	3351	3341
351	2860	3808	3365	3355
352	2885	3816	3380	3368
353	2898	3830	3396	3382
354	2915	3844	3412	3396
355	2929	3857	3426	3409
356	2947	3863	3437	3423
357	2959	3873	3449	3436
358	2969	3882	3462	3449
359	2978	3896	3477	3462
360	2987	3905	3492	3475
361	3005	3912	3506	3489
362	3018	3920	3522	3503
363	3033	3930	3537	3517
364	3047	3942	3551	3531
365	3053	3956	3565	3545
366	3072	3962	3577	3558
367	3093	3966	3590	3571
368	3104	3971	3603	3584
369	3116	3980	3618	3597
370	3129	3991	3628	3609
371	3152	3997	3641	3622
372	3173	4004	3654	3635
373	3180	4012	3669	3648
374	3199	4026	3681	3661
375	3205	4035	3697	3674
376	3235	4042	3708	3687
377	3265	4050	3720	3700
378	3286	4057	3732	3713
379	3297	4068	3746	3726
380	3316	4085	3760	3739
381	3339	4088	3771	3752
382	3365	4098	3782	3765
383	3385	4104	3793	3778
384	3398	4113	3807	3791
385	3410	4125	3819	3804
386	3446	4133	3830	3818
387	3474	4138	3845	3832
388	3486	4149	3858	3846
389	3499	4162	3873	3860
390	3512	4179	3889	3874
391	3547	4186	3900	3887
392	3570	4190	3910	3900
393	3587	4196	3921	3913
394	3605	4201	3934	3926
395	3620	4210	3948	3939
396	3668	4218	3957	3952
397	3703	4224	3967	3965
398	3730	4230	3980	3978
399	3747	4235	3990	3991
400	3761	4251	4004	4004
401	3776	4263	4018	4018
402	3788	4288	4031	4032
403	3801	4319	4043	4046
404	3807	4356	4052	4060
405	3811	4403	4061	4074
406	3826	4419	4076	4088
407	3837	4428	4091	4102
408	3845	4451	4105	4115
409	3849	4472	4118	4129
410	3853	4504	4130	4143
411	3862	4517	4142	4156
412	3872	4531	4156	4170
413	3879	4556	4170	4184
414	3888	4583	4182	4197
415	3896	4612	4196	4211
416	3907	4626	4210	4225
417	3916	4638	4224	4239
418	3925	4649	4237	4252
419	3933	4678	4250	4266
420	3937	4705	4263	4280
421	3956	4718	4278	4295
422	3967	4725	4294	4310
423	3979	4746	4309	4324
424	3986	4772	4324	4339
425	3990	4798	4338	4354
426	4002	4805	4352	4368
427	4017	4826	4364	4381
428	4022	4839	4379	4395
429	4028	4858	4392	4408
430	4035	4886	4404	4422
431	4048	4902	4417	4436
432	4056	4920	4432	4450
433	4067	4940	4449	4465
434	4073	4957	4463	4479
435	4077	4981	4480	4493
436	4095	4989	4495	4507
437	4107	5001	4510	4521
438	4118	5017	4525	4535
439	4127	5041	4539	4549
440	4134	5058	4552	4563
441	4147	5069	4567	4577
442	4163	5082	4583	4591
443	4176	5088	4597	4606
444	4184	5110	4610	4620
445	4189	5124	4624	4634
446	4210	5137	4637	4647
447	4224	5150	4651	4661
448	4232	5160	4665	4674
449	4243	5172	4682	4688
450	4251	5195	4695	4701
451	4267	5202	4707	4715
452	4277	5213	4723	4728
453	4288	5223	4737	4742
454	4297	5233	4752	4756
455	4303	5248	4764	4769
456	4321	5261	4781	4783
457	4336	5267	4794	4797
458	4344	5275	4810	4811
459	4354	5287	4826	4826
460	4360	5298	4843	4840
461	4377	5307	4856	4854
462	4391	5318	4872	4869
463	4402	5332	4886	4883
464	4413	5347	4903	4898
465	4426	5375	4916	4912
466	4448	5379	4931	4926
467	4462	5387	4947	4939
468	4474	5394	4962	4953
469	4491	5408	4976	4967
470	4499	5423	4989	4980
471	4525	5436	5002	4996
472	4543	5446	5014	5011
473	4560	5456	5029	5027
474	4573	5468	5047	5042
475	4586	5487	5064	5058
476	4610	5494	5079	5072
477	4636	5504	5094	5087
478	4648	5512	5108	5101
479	4660	5528	5125	5116
480	4674	5544	5141	5131
481	4690	5552	5154	5144
482	4705	5561	5167	5157
483	4717	5572	5180	5170
484	4731	5583	5195	5183
485	4738	5594	5209	5196
486	4767	5603	5218	5209
487	4788	5608	5231	5223
488	4807	5616	5248	5236
489	4825	5628	5263	5249
490	4839	5641	5277	5262
491	4859	5647	5289	5276
492	4879	5657	5301	5289
493	4888	5662	5314	5303
494	4897	5673	5327	5316
495	4911	5687	5341	5330
496	4939	5692	5350	5343
497	4960	5697	5365	5356
498	4981	5705	5378	5369
499	4997	5718	5390	5382
500	5006	5729	5403	5395
501	5022	5738	5415	5406
502	5028	5754	5426	5417
503	5032	5773	5435	5428
504	5037	5795	5444	5439
505	5044	5825	5454	5450
506	5055	5829	5463	5460
507	5061	5840	5473	5469
508	5070	5849	5483	5479
509	5077	5865	5491	5489
510	5081	5891	5499	5498
511	5091	5902	5510	5509
512	5101	5912	5522	5520
513	5116	5930	5531	5531
514	5125	5953	5540	5541
515	5130	5978	5550	5552
516	5146	5988	5561	5563
517	5160	5995	5570	5574
518	5165	6011	5580	5584
519	5172	6036	5590	5595
520	5182	6053	5600	5606
521	5191	6067	5612	5616
522	5197	6080	5620	5626
523	5203	6099	5630	5637
524	5211	6117	5640	5647
525	5218	6133	5651	5657
526	5232	6148	5662	5668
527	5244	6161	5672	5679
528	5257	6181	5682	5689
529	5265	6200	5693	5700
530	5269	6216	5705	5711
531	5282	6227	5716	5720
532	5293	6236	5726	5730
533	5302	6240	5736	5740
534	5307	6254	5745	5750
535	5312	6263	5754	5759
536	5329	6268	5765	5770
537	5336	6276	5774	5781
538	5344	6297	5785	5792
539	5347	6326	5796	5803
540	5352	6340	5808	5814
541	5366	6347	5818	5825
542	5375	6358	5830	5836
543	5378	6375	5843	5847
544	5384	6382	5854	5858
545	5385	6392	5865	5869
546	5398	6398	5874	5879
547	5409	6402	5885	5890
548	5413	6416	5893	5900
549	5419	6421	5901	5910
550	5426	6432	5913	5921
551	5440	6449	5922	5931
552	5454	6461	5934	5942
553	5463	6477	5947	5952
554	5469	6486	5957	5962
555	5474	6509	5967	5973
556	5487	6516	5979	5984
557	5502	6527	5991	5995
558	5514	6533	6003	6005
559	5524	6551	6014	6016
560	5534	6569	6025	6027
561	5547	6580	6035	6038
562	5559	6589	6047	6050
563	5574	6604	6057	6061
564	5582	6617	6069	6072
565	5591	6635	6081	6083
566	5602	6648	6090	6094
567	5608	6652	6099	6104
568	5620	6660	6109	6114
569	5627	6672	6120	6124
570	5632	6686	6131	6135
571	5645	6692	6140	6145
572	5650	6700	6150	6155
573	5659	6711	6160	6165
574	5667	6721	6171	6175
575	5674	6733	6181	6185
576	5685	6740	6191	6195
577	5693	6751	6201	6204
578	5701	6768	6211	6213
579	5706	6783	6220	6223
580	5711	6791	6229	6232
581	5721	6798	6240	6242
582	5735	6800	6248	6252
583	5745	6812	6258	6262
584	5753	6823	6270	6272
585	5760	6836	6281	6282
586	5773	6840	6292	6293
587	5778	6849	6303	6304
588	5787	6859	6314	6314
589	5798	6867	6323	6325
590	5802	6879	6334	6336
591	5822	6887	6343	6346
592	5834	6903	6353	6356
593	5841	6920	6365	6366
594	5849	6932	6374	6377
595	5857	6945	6384	6387
596	5868	6963	6394	6397
597	5884	6970	6407	6408
598	5897	6984	6418	6418
599	5904	6994	6427	6429
600	5907	7007	6438	6439
601	5922	7010	6447	6449
602	5934	7014	6456	6459
603	5939	7020	6467	6469
604	5951	7030	6478	6480
605	5958	7045	6488	6490
606	5966	7054	6499	6499
607	5973	7067	6509	6509
608	5977	7074	6520	6519
609	5986	7086	6530	6529
610	5990	7096	6539	6539
611	6002	7105	6549	6549
612	6020	7113	6560	6559
613	6036	7120	6568	6570
614	6049	7130	6578	6580
615	6052	7139	6588	6590
616	6064	7153	6598	6601
617	6073	7165	6610	6613
618	6081	7174	6623	6624
619	6090	7189	6633	6635
620	6095	7206	6645	6647
621	6107	7213	6655	6656
622	6116	7221	6664	6666
623	6129	7230	6674	6676
624	6133	7237	6683	6685
625	6141	7255	6693	6695
626	6147	7272	6704	6705
627	6158	7289	6714	6715
628	6167	7300	6724	6725
629	6172	7314	6735	6735
630	6175	7331	6745	6745
631	6189	7338	6754	6756
632	6198	7339	6763	6766
633	6211	7347	6774	6776
634	6225	7358	6784	6786
635	6235	7370	6796	6796
636	6244	7376	6805	6806
637	6256	7384	6815	6816
638	6261	7395	6824	6826
639	6271	7411	6835	6836
640	6279	7425	6844	6847
641	6284	7430	6854	6856
642	6301	7433	6864	6866
643	6318	7443	6875	6875
644	6331	7452	6882	6885
645	6336	7460	6892	6894
646	6351	7470	6904	6905
647	6363	7482	6915	6915
648	6375	7493	6925	6926
649	6387	7505	6933	6937
650	6392	7518	6945	6947
