depth	min.95	max.95	median	mean
90	151	236	196	196
91	156	246	202	202
92	159	268	206	207
93	161	291	209	213
94	166	295	215	219
95	168	302	220	224
96	170	318	224	229
97	175	322	231	235
98	179	326	236	240
99	181	335	241	245
100	185	338	247	251
101	187	345	253	256
102	189	356	259	262
103	194	358	264	267
104	195	362	270	272
105	197	371	275	277
106	203	373	280	282
107	206	376	286	287
108	208	383	291	292
109	217	385	296	297
110	219	387	302	302
111	222	391	308	306
112	228	394	313	312
113	231	396	319	318
114	234	404	326	323
115	242	405	330	329
116	247	408	336	334
117	251	413	341	339
118	260	414	346	343
119	262	418	351	348
120	265	422	356	352
121	274	424	361	357
122	279	426	366	363
123	282	432	372	368
124	293	433	375	372
125	297	436	379	376
126	300	439	384	381
127	320	441	388	386
128	332	444	392	391
129	337	449	397	396
130	361	452	403	404
131	366	468	410	412
132	369	496	416	420
133	379	518	426	432
134	381	560	435	444
135	384	612	441	456
136	391	625	454	469
137	393	662	466	482
138	395	714	474	495
139	402	720	487	506
140	405	733	499	517
141	406	761	509	529
142	414	777	523	542
143	419	802	536	556
144	420	846	547	569
145	433	855	562	584
146	437	876	578	599
147	440	906	592	614
148	447	921	607	627
149	452	938	622	641
150	455	961	634	655
151	467	978	648	669
152	473	1003	662	682
153	478	1028	675	696
154	486	1039	692	709
155	490	1058	706	723
156	493	1088	720	736
157	502	1097	729	747
158	506	1110	741	758
159	510	1125	755	770
160	522	1135	768	783
161	530	1149	781	797
162	533	1168	796	810
163	548	1182	811	823
164	556	1199	825	837
165	559	1215	839	850
166	573	1228	856	865
167	580	1251	872	880
168	584	1284	884	894
169	601	1291	900	909
170	608	1310	914	923
171	615	1331	930	938
172	629	1341	945	952
173	640	1348	958	966
174	647	1362	972	980
175	663	1373	985	993
176	671	1385	1001	1007
177	677	1414	1013	1021
178	687	1422	1026	1033
179	692	1434	1037	1045
180	695	1455	1048	1057
181	707	1470	1063	1069
182	720	1481	1075	1080
183	729	1497	1088	1092
184	743	1502	1105	1108
185	753	1519	1121	1123
186	762	1530	1136	1138
187	786	1537	1149	1151
188	797	1545	1163	1163
189	804	1561	1176	1175
190	826	1567	1189	1190
191	844	1579	1203	1205
192	854	1595	1220	1220
193	867	1604	1234	1234
194	877	1612	1252	1248
195	885	1628	1265	1262
196	908	1636	1281	1276
197	918	1650	1296	1290
198	925	1669	1311	1304
199	930	1677	1326	1317
200	937	1688	1341	1330
201	946	1697	1354	1343
202	965	1707	1365	1355
203	977	1720	1376	1368
204	990	1732	1387	1380
205	1011	1738	1402	1393
206	1031	1749	1416	1407
207	1040	1761	1431	1420
208	1058	1768	1444	1434
209	1075	1776	1459	1447
210	1083	1792	1472	1460
211	1093	1800	1487	1475
212	1102	1806	1502	1489
213	1109	1821	1515	1504
214	1127	1826	1526	1516
215	1140	1838	1539	1528
216	1153	1855	1553	1541
217	1169	1862	1567	1553
218	1181	1870	1580	1566
219	1193	1882	1593	1579
220	1214	1887	1607	1593
221	1231	1896	1624	1608
222	1242	1912	1641	1623
223	1258	1918	1653	1635
224	1273	1924	1666	1647
225	1286	1933	1678	1659
226	1317	1937	1691	1671
227	1330	1941	1703	1684
228	1339	1952	1715	1697
229	1363	1956	1727	1710
230	1385	1965	1741	1724
231	1402	1976	1756	1738
232	1425	1983	1768	1751
233	1436	1993	1784	1764
234	1451	2007	1795	1778
235	1473	2014	1808	1792
236	1491	2022	1824	1806
237	1507	2035	1839	1820
238	1526	2040	1850	1832
239	1535	2045	1862	1844
240	1552	2053	1875	1855
241	1584	2057	1886	1869
242	1610	2064	1897	1883
243	1623	2077	1911	1896
244	1676	2081	1922	1911
245	1712	2088	1935	1925
246	1726	2098	1950	1939
247	1773	2104	1959	1952
248	1803	2110	1969	1966
249	1813	2124	1983	1979
250	1846	2131	1995	1994
251	1859	2148	2007	2008
252	1867	2192	2019	2023
253	1882	2207	2032	2036
254	1886	2238	2043	2049
255	1892	2282	2051	2062
256	1904	2300	2065	2075
257	1909	2330	2077	2088
258	1913	2369	2087	2101
259	1924	2383	2101	2114
260	1932	2397	2113	2127
261	1937	2426	2124	2140
262	1949	2434	2140	2154
263	1956	2447	2152	2169
264	1960	2488	2166	2183
265	1975	2502	2178	2195
266	1980	2518	2190	2207
267	1988	2537	2199	2219
268	1995	2552	2213	2231
269	2002	2569	2224	2244
270	2007	2596	2236	2256
271	2019	2612	2248	2269
272	2026	2628	2260	2281
273	2032	2660	2273	2293
274	2045	2675	2285	2306
275	2055	2689	2296	2319
276	2061	2711	2309	2331
277	2071	2726	2324	2346
278	2078	2745	2338	2360
279	2083	2771	2352	2374
280	2097	2786	2367	2389
281	2106	2798	2382	2403
282	2112	2821	2397	2417
283	2120	2831	2410	2430
284	2125	2843	2423	2443
285	2134	2860	2437	2456
286	2149	2866	2449	2468
287	2159	2890	2464	2481
288	2165	2908	2479	2493
289	2176	2916	2492	2507
290	2183	2934	2508	2520
291	2188	2952	2523	2533
292	2197	2962	2535	2546
293	2206	2978	2548	2559
294	2213	2996	2559	2572
295	2219	3007	2574	2584
296	2229	3014	2586	2595
297	2238	3034	2597	2607
298	2256	3040	2611	2621
299	2267	3057	2626	2635
300	2276	3068	2639	2649
301	2286	3087	2651	2662
302	2294	3106	2665	2676
303	2301	3130	2676	2689
304	2314	3136	2692	2702
305	2322	3141	2708	2715
306	2330	3160	2721	2728
307	2347	3169	2735	2742
308	2360	3183	2748	2756
309	2367	3207	2763	2770
310	2381	3215	2775	2783
311	2394	3222	2788	2796
312	2400	3239	2801	2808
313	2417	3249	2813	2822
314	2429	3260	2828	2835
315	2439	3272	2840	2849
316	2446	3284	2856	2863
317	2456	3304	2873	2878
318	2461	3322	2889	2892
319	2479	3333	2903	2906
320	2493	3355	2919	2920
321	2501	3378	2935	2935
322	2518	3391	2948	2949
323	2536	3402	2962	2963
324	2545	3420	2975	2978
325	2570	3431	2987	2991
326	2584	3440	3002	3005
327	2590	3455	3019	3019
328	2604	3464	3031	3032
329	2611	3477	3045	3045
330	2626	3492	3057	3058
331	2641	3502	3072	3072
332	2653	3515	3086	3086
333	2664	3527	3101	3101
334	2672	3542	3113	3113
335	2679	3551	3126	3125
336	2685	3564	3139	3137
337	2691	3577	3154	3149
338	2706	3587	3166	3162
339	2717	3600	3178	3174
340	2733	3612	3187	3186
341	2739	3623	3196	3197
342	2745	3629	3209	3208
343	2763	3639	3225	3223
344	2778	3655	3241	3237
345	2795	3676	3256	3251
346	2815	3684	3270	3265
347	2830	3692	3284	3279
348	2843	3704	3302	3292
349	2863	3709	3316	3307
350	2885	3717	3330	3321
351	2895	3728	3345	3336
352	2905	3736	3359	3348
353	2922	3743	3373	3360
354	2935	3756	3385	3373
355	2946	3760	3397	3384
356	2956	3772	3409	3396
357	2972	3781	3422	3408
358	2988	3792	3435	3421
359	3009	3804	3449	3435
360	3027	3819	3461	3448
361	3043	3823	3475	3462
362	3056	3835	3488	3475
363	3061	3850	3504	3489
364	3080	3862	3517	3503
365	3099	3872	3530	3517
366	3109	3885	3541	3531
367	3127	3898	3553	3544
368	3138	3907	3566	3557
369	3156	3921	3579	3570
370	3173	3929	3594	3584
371	3186	3937	3610	3598
372	3201	3950	3625	3612
373	3225	3955	3638	3625
374	3238	3969	3649	3638
375	3248	3982	3662	3651
376	3268	3990	3673	3663
377	3286	3999	3686	3676
378	3295	4015	3699	3689
379	3312	4021	3715	3702
380	3324	4033	3729	3715
381	3339	4041	3743	3728
382	3356	4047	3756	3741
383	3373	4058	3770	3754
384	3384	4069	3781	3766
385	3421	4076	3793	3780
386	3440	4086	3807	3794
387	3452	4101	3822	3808
388	3480	4110	3834	3822
389	3500	4118	3849	3836
390	3520	4139	3864	3850
391	3548	4145	3875	3864
392	3562	4152	3887	3878
393	3574	4165	3899	3891
394	3609	4170	3912	3906
395	3638	4175	3926	3921
396	3656	4192	3940	3936
397	3690	4201	3952	3950
398	3716	4207	3965	3964
399	3731	4218	3978	3978
400	3748	4225	3993	3992
401	3758	4245	4007	4005
402	3766	4260	4019	4019
403	3778	4273	4031	4032
404	3794	4297	4042	4045
405	3802	4332	4053	4058
406	3811	4348	4067	4072
407	3823	4368	4079	4086
408	3830	4407	4091	4100
409	3841	4415	4104	4113
410	3850	4433	4117	4126
411	3857	4464	4128	4139
412	3870	4477	4142	4151
413	3877	4497	4154	4164
414	3879	4524	4167	4176
415	3897	4535	4181	4190
416	3904	4546	4195	4203
417	3912	4571	4208	4217
418	3922	4584	4220	4230
419	3928	4591	4233	4243
420	3936	4612	4246	4256
421	3949	4623	4258	4268
422	3956	4634	4269	4280
423	3960	4651	4280	4292
424	3972	4665	4296	4306
425	3983	4679	4313	4320
426	3988	4700	4324	4333
427	4000	4717	4338	4347
428	4007	4738	4353	4360
429	4011	4761	4365	4373
430	4029	4775	4377	4385
431	4040	4785	4390	4396
432	4043	4809	4402	4408
433	4055	4825	4413	4421
434	4066	4839	4427	4434
435	4071	4860	4441	4447
436	4080	4874	4454	4460
437	4091	4893	4467	4474
438	4103	4905	4479	4488
439	4116	4916	4495	4501
440	4127	4928	4506	4514
441	4135	4948	4520	4527
442	4153	4954	4534	4541
443	4162	4966	4547	4554
444	4172	4987	4560	4567
445	4189	5000	4575	4582
446	4195	5017	4591	4596
447	4201	5040	4605	4610
448	4219	5052	4617	4623
449	4232	5065	4630	4636
450	4244	5084	4641	4649
451	4256	5091	4657	4663
452	4265	5108	4675	4678
453	4277	5124	4689	4692
454	4290	5135	4703	4705
455	4300	5141	4715	4718
456	4308	5167	4729	4731
457	4321	5178	4743	4745
458	4336	5192	4757	4758
459	4346	5208	4773	4772
460	4358	5221	4785	4785
461	4369	5232	4800	4799
462	4377	5250	4814	4812
463	4397	5260	4827	4826
464	4406	5271	4842	4840
465	4415	5288	4857	4854
466	4437	5301	4870	4866
467	4445	5309	4882	4879
468	4448	5337	4893	4891
469	4462	5339	4907	4905
470	4477	5354	4920	4919
471	4487	5370	4936	4933
472	4497	5381	4949	4945
473	4515	5391	4963	4957
474	4525	5406	4973	4969
475	4543	5417	4989	4984
476	4548	5430	5001	4999
477	4563	5448	5014	5014
478	4585	5456	5029	5028
479	4600	5466	5044	5042
480	4615	5484	5061	5057
481	4632	5492	5073	5070
482	4646	5503	5086	5083
483	4662	5515	5099	5097
484	4678	5528	5114	5110
485	4691	5536	5128	5123
486	4701	5553	5143	5137
487	4713	5559	5154	5149
488	4725	5568	5166	5162
489	4739	5576	5182	5174
490	4753	5585	5195	5188
491	4763	5597	5210	5202
492	4769	5620	5222	5215
493	4779	5627	5235	5228
494	4792	5636	5249	5241
495	4807	5655	5263	5254
496	4821	5661	5276	5268
497	4836	5678	5291	5282
498	4845	5692	5305	5296
499	4861	5701	5318	5310
500	4880	5718	5334	5324
501	4895	5738	5345	5338
502	4900	5749	5357	5348
503	4910	5764	5368	5359
504	4922	5779	5377	5370
505	4932	5791	5388	5381
506	4947	5808	5397	5392
507	4953	5824	5407	5403
508	4969	5832	5419	5415
509	4978	5843	5430	5426
510	4984	5862	5439	5438
511	4993	5869	5453	5450
512	5002	5881	5465	5461
513	5009	5897	5475	5472
514	5026	5910	5486	5483
515	5038	5925	5497	5493
516	5046	5938	5507	5504
517	5056	5946	5516	5513
518	5065	5959	5525	5523
519	5074	5975	5535	5532
520	5084	5986	5545	5543
521	5089	5999	5557	5553
522	5095	6011	5568	5564
523	5107	6021	5577	5574
524	5110	6035	5588	5583
525	5118	6050	5595	5593
526	5124	6057	5605	5604
527	5134	6072	5618	5614
528	5146	6088	5627	5624
529	5152	6101	5639	5635
530	5160	6110	5651	5646
531	5166	6135	5663	5656
532	5172	6148	5675	5668
533	5175	6163	5684	5680
534	5188	6180	5695	5691
535	5206	6191	5707	5703
536	5212	6208	5716	5715
537	5224	6223	5728	5726
538	5238	6235	5739	5738
539	5255	6242	5750	5750
540	5261	6255	5760	5761
541	5280	6265	5771	5771
542	5294	6276	5784	5782
543	5302	6286	5794	5792
544	5311	6297	5804	5802
545	5315	6313	5816	5813
546	5321	6331	5826	5823
547	5338	6337	5837	5833
548	5348	6356	5846	5842
549	5359	6365	5855	5852
550	5367	6373	5866	5862
551	5378	6388	5877	5873
552	5384	6402	5889	5883
553	5391	6415	5898	5894
554	5398	6421	5907	5904
555	5403	6435	5918	5915
556	5412	6443	5927	5925
557	5421	6454	5934	5936
558	5431	6463	5944	5946
559	5441	6472	5954	5956
560	5449	6478	5966	5966
561	5457	6490	5975	5976
562	5467	6499	5988	5987
563	5475	6516	5999	5998
564	5482	6526	6012	6009
565	5494	6535	6023	6020
566	5504	6547	6034	6030
567	5515	6562	6043	6041
568	5533	6572	6053	6052
569	5544	6583	6062	6062
570	5547	6599	6070	6073
571	5556	6602	6079	6083
572	5569	6616	6092	6093
573	5580	6624	6103	6104
574	5592	6637	6114	6115
575	5596	6649	6125	6126
576	5606	6662	6136	6137
577	5619	6674	6148	6148
578	5628	6683	6159	6159
579	5636	6694	6168	6169
580	5656	6700	6183	6181
581	5665	6712	6195	6193
582	5670	6723	6206	6205
583	5685	6736	6217	6217
584	5694	6756	6230	6228
585	5700	6766	6241	6239
586	5719	6775	6252	6250
587	5730	6787	6263	6262
588	5747	6802	6273	6274
589	5751	6808	6280	6283
590	5763	6817	6292	6293
591	5768	6833	6303	6303
592	5781	6845	6314	6313
593	5791	6852	6323	6324
594	5797	6864	6333	6335
595	5811	6873	6344	6346
596	5824	6888	6353	6356
597	5835	6901	6363	6367
598	5851	6908	6375	6377
599	5862	6917	6385	6388
600	5868	6932	6399	6398
601	5882	6946	6408	6409
602	5891	6963	6419	6419
603	5901	6973	6428	6430
604	5914	6985	6440	6442
605	5924	6993	6455	6455
606	5930	7003	6466	6467
607	5947	7010	6476	6477
608	5954	7020	6486	6487
609	5962	7034	6494	6497
610	5977	7042	6507	6508
611	5987	7058	6520	6520
612	5990	7072	6534	6531
613	6009	7078	6542	6542
614	6025	7087	6552	6553
615	6030	7104	6562	6563
616	6039	7110	6575	6574
617	6047	7120	6587	6585
618	6056	7132	6598	6596
619	6068	7138	6607	6606
620	6078	7141	6617	6615
621	6084	7155	6627	6625
622	6093	7165	6639	6636
623	6100	7178	6650	6647
624	6106	7193	6662	6658
625	6119	7204	6672	6670
626	6130	7218	6683	6682
627	6141	7236	6696	6693
628	6153	7243	6707	6703
629	6162	7256	6714	6713
630	6171	7266	6724	6722
631	6177	7276	6735	6733
632	6183	7291	6748	6744
633	6198	7306	6759	6755
634	6215	7308	6770	6766
635	6230	7321	6780	6777
636	6241	7335	6790	6788
637	6256	7343	6801	6798
638	6261	7355	6811	6809
639	6276	7363	6821	6820
640	6289	7373	6832	6830
641	6299	7383	6841	6841
642	6302	7395	6853	6852
643	6317	7403	6866	6863
644	6332	7414	6879	6875
645	6337	7425	6888	6887
646	6350	7437	6898	6898
647	6357	7446	6906	6909
648	6371	7462	6918	6920
649	6381	7474	6929	6931
650	6400	7484	6940	6942
