depth	min95%	max95%	best	accrate
329	4677	4998	4835	42.47
330	4718	5042	4878	42.58
331	4760	5085	4920	42.68
332	4801	5129	4963	42.79
333	4842	5173	5006	42.89
334	4884	5216	5049	42.99
335	4926	5260	5092	43.09
336	4968	5303	5135	43.18
337	5010	5347	5178	43.28
338	5053	5391	5221	43.37
339	5095	5435	5265	43.46
340	5138	5480	5308	43.55
341	5181	5524	5352	43.64
342	5223	5569	5395	43.72
343	5266	5613	5439	43.8
344	5310	5658	5483	43.89
345	5353	5703	5527	43.96
346	5396	5748	5571	44.04
347	5440	5794	5615	44.12
348	5483	5840	5659	44.19
349	5527	5886	5703	44.26
350	5570	5932	5747	44.33
351	5613	5978	5791	44.4
352	5656	6024	5836	44.46
353	5700	6070	5880	44.53
354	5743	6115	5925	44.59
355	5786	6160	5969	44.65
356	5830	6204	6014	44.71
357	5874	6248	6059	44.76
358	5917	6292	6104	44.82
359	5961	6336	6148	44.87
360	6005	6382	6193	44.92
361	6049	6428	6238	44.97
362	6093	6475	6283	45.01
363	6137	6521	6328	45.06
364	6181	6567	6373	45.1
365	6226	6613	6418	45.14
366	6270	6659	6463	45.18
367	6315	6706	6509	45.22
368	6359	6752	6554	45.25
369	6405	6797	6599	45.28
370	6451	6841	6644	45.32
371	6496	6886	6690	45.34
372	6541	6930	6735	45.37
373	6587	6974	6780	45.4
374	6632	7017	6826	45.42
375	6678	7062	6871	45.44
376	6725	7108	6917	45.46
377	6772	7153	6962	45.48
378	6819	7198	7008	45.49
379	6864	7243	7053	45.51
380	6909	7288	7099	45.52
381	6954	7334	7144	45.53
382	7001	7381	7190	45.54
383	7047	7427	7235	45.54
384	7092	7472	7281	45.55
385	7138	7517	7326	45.55
386	7184	7561	7372	45.55
387	7231	7604	7417	45.55
388	7277	7648	7463	45.54
389	7323	7694	7509	45.54
390	7369	7739	7554	45.53
391	7417	7784	7600	45.52
392	7464	7828	7645	45.51
393	7512	7874	7691	45.5
394	7558	7919	7736	45.48
395	7604	7965	7782	45.46
396	7650	8010	7827	45.44
397	7695	8055	7872	45.42
398	7740	8101	7918	45.4
399	7785	8147	7963	45.38
400	7831	8191	8009	45.35
401	7877	8234	8054	45.32
402	7923	8277	8099	45.3
403	7970	8322	8145	45.27
404	8015	8369	8190	45.25
405	8058	8415	8235	45.22
406	8102	8462	8280	45.2
407	8146	8508	8326	45.17
408	8192	8556	8371	45.15
409	8236	8602	8416	45.12
410	8280	8647	8461	45.1
411	8323	8692	8506	45.08
412	8367	8738	8551	45.06
413	8410	8785	8596	45.03
414	8452	8831	8641	45.01
415	8495	8877	8686	44.99
416	8538	8922	8731	44.97
417	8581	8965	8776	44.95
418	8626	9009	8821	44.93
419	8670	9053	8866	44.91
420	8713	9097	8911	44.89
421	8754	9143	8956	44.87
422	8796	9188	9001	44.85
423	8842	9232	9046	44.83
424	8886	9278	9090	44.81
425	8928	9323	9135	44.79
426	8970	9370	9180	44.78
427	9013	9416	9225	44.76
428	9054	9464	9270	44.74
429	9099	9513	9314	44.73
430	9144	9561	9359	44.71
431	9185	9608	9404	44.69
432	9225	9653	9449	44.68
433	9268	9700	9493	44.66
434	9309	9745	9538	44.65
435	9351	9790	9582	44.63
436	9391	9837	9627	44.62
437	9429	9884	9672	44.61
438	9469	9932	9716	44.59
439	9511	9979	9761	44.58
440	9553	10026	9806	44.57
441	9595	10073	9850	44.56
442	9635	10122	9895	44.54
443	9677	10171	9939	44.53
444	9719	10219	9984	44.52
445	9761	10267	10028	44.51
446	9803	10313	10073	44.5
447	9845	10362	10117	44.49
448	9886	10410	10162	44.48
449	9926	10458	10206	44.47
450	9965	10506	10251	44.46
451	10006	10554	10295	44.45
452	10047	10602	10340	44.44
453	10087	10650	10384	44.43
454	10128	10698	10428	44.43
455	10166	10746	10473	44.42
456	10206	10794	10517	44.41
457	10243	10845	10562	44.41
458	10279	10893	10606	44.4
459	10315	10940	10651	44.39
460	10354	10987	10695	44.39
461	10394	11034	10739	44.38
462	10434	11081	10784	44.38
463	10475	11128	10828	44.37
