depth	min95%	max95%	best	accrate
321	5026	6224	5610	51.01
322	5070	6271	5661	51.09
323	5115	6319	5712	51.16
324	5159	6366	5763	51.23
325	5203	6413	5814	51.29
326	5248	6460	5866	51.35
327	5293	6507	5917	51.41
328	5337	6554	5968	51.46
329	5382	6602	6020	51.5
330	5427	6649	6071	51.55
331	5472	6696	6123	51.59
332	5517	6743	6175	51.62
333	5562	6790	6226	51.65
334	5607	6837	6278	51.68
335	5652	6884	6330	51.7
336	5697	6931	6381	51.72
337	5743	6978	6433	51.74
338	5791	7025	6485	51.75
339	5840	7072	6536	51.76
340	5888	7120	6588	51.76
341	5936	7168	6640	51.76
342	5985	7216	6692	51.76
343	6033	7265	6744	51.75
344	6081	7310	6795	51.74
345	6130	7354	6847	51.72
346	6178	7401	6899	51.7
347	6227	7448	6950	51.68
348	6275	7496	7002	51.65
349	6324	7544	7054	51.62
350	6372	7592	7105	51.58
351	6421	7639	7157	51.54
352	6469	7685	7209	51.5
353	6514	7732	7260	51.45
354	6559	7778	7311	51.4
355	6604	7824	7363	51.35
356	6649	7871	7414	51.29
357	6694	7918	7465	51.22
358	6739	7964	7517	51.16
359	6784	8011	7568	51.08
360	6829	8057	7619	51.01
361	6874	8104	7670	50.93
362	6919	8150	7721	50.85
363	6964	8197	7772	50.76
364	7009	8243	7823	50.67
365	7054	8289	7873	50.57
366	7099	8334	7924	50.47
367	7144	8379	7974	50.37
368	7189	8424	8025	50.27
369	7234	8469	8075	50.15
370	7280	8514	8125	50.04
371	7327	8559	8175	49.92
372	7374	8603	8225	49.8
373	7420	8647	8275	49.67
374	7467	8692	8324	49.54
375	7514	8736	8374	49.41
376	7561	8779	8423	49.27
377	7607	8823	8473	49.13
378	7654	8867	8522	48.98
379	7700	8912	8571	48.83
380	7746	8956	8620	48.67
381	7792	9002	8668	48.52
382	7839	9048	8717	48.35
383	7885	9094	8765	48.19
384	7930	9140	8813	48.02
385	7976	9184	8861	47.84
386	8020	9228	8909	47.67
387	8064	9271	8957	47.48
388	8108	9312	9004	47.3
389	8152	9354	9052	47.11
390	8196	9395	9099	46.91
391	8240	9439	9146	46.72
392	8284	9481	9192	46.51
393	8327	9523	9239	46.31
394	8371	9567	9285	46.1
395	8414	9609	9331	45.88
396	8458	9653	9377	45.67
397	8501	9700	9423	45.45
398	8544	9742	9468	45.22
399	8587	9785	9514	44.99
400	8630	9823	9558	44.76
401	8672	9864	9603	44.53
402	8715	9906	9648	44.3
403	8757	9950	9692	44.07
404	8799	9995	9736	43.84
405	8841	10038	9780	43.62
406	8883	10080	9824	43.4
407	8925	10124	9867	43.18
408	8966	10170	9910	42.96
409	9008	10212	9953	42.74
410	9049	10254	9996	42.53
411	9091	10298	10038	42.31
412	9132	10342	10081	42.1
413	9173	10387	10123	41.89
414	9214	10433	10165	41.68
415	9254	10478	10206	41.48
416	9295	10523	10248	41.28
417	9335	10567	10289	41.07
418	9376	10610	10330	40.87
419	9416	10655	10371	40.68
420	9456	10701	10412	40.48
421	9496	10746	10452	40.28
422	9536	10789	10493	40.09
423	9576	10833	10533	39.9
424	9616	10876	10573	39.71
425	9657	10919	10612	39.53
426	9697	10959	10652	39.34
427	9738	11000	10691	39.16
428	9779	11043	10730	38.98
429	9819	11086	10769	38.8
430	9859	11130	10808	38.62
431	9899	11173	10847	38.44
432	9940	11215	10885	38.27
433	9980	11257	10923	38.1
434	10019	11298	10961	37.93
435	10059	11339	10999	37.76
436	10099	11380	11037	37.59
437	10138	11420	11075	37.43
438	10178	11460	11112	37.26
439	10217	11501	11149	37.1
440	10257	11541	11187	36.94
441	10296	11583	11223	36.78
442	10335	11625	11260	36.63
443	10374	11667	11297	36.48
444	10413	11705	11333	36.32
445	10452	11746	11370	36.17
446	10491	11786	11406	36.03
447	10529	11828	11442	35.88
448	10568	11869	11478	35.73
449	10606	11910	11513	35.59
450	10645	11951	11549	35.45
451	10683	11992	11585	35.31
452	10721	12033	11620	35.18
453	10759	12073	11655	35.04
454	10797	12113	11690	34.91
455	10835	12152	11725	34.78
456	10873	12191	11760	34.65
457	10911	12229	11794	34.52
458	10947	12267	11829	34.39
459	10982	12306	11863	34.27
